EPC,location,type
E20000193907010913105176,desktop,rfid
E20000193907010913105175,desktop,rfid
E2000019390701391310743D,desktop,rfid
E200001939070129131062B4,desktop,rfid
E200001939070129131062B3,desktop,rfid
E20000193907004213101285,desktop,rfid
E200001939070030131007FF,desktop,rfid
E200001939070028131007FE,desktop,rfid
E20000193907004813100EEC,desktop,rfid
E200001939070029131009B6,desktop,rfid
E200001939070027131009B5,desktop,rfid
E20000193907012613105F1B,desktop,rfid
E20000193907013813107089,desktop,rfid
E20000193907012813105F1C,desktop,rfid
E200001939070157131085BE,desktop,rfid
E20000193907014713107CFD,desktop,rfid
E20000193907014513107440,desktop,rfid
E20000193907004813101288,desktop,rfid
E2000019390700821310357D,desktop,rfid
E2000019390700701310266F,desktop,rfid
E2000019390700681310266E,desktop,rfid
E200001939070079131030EB,desktop,rfid
E20000193907006913102966,desktop,rfid
E20000193907006213101F63,desktop,rfid
E20000193907005113101B4D,desktop,rfid
E200001939070049131014D4,desktop,rfid
E20000193907006113102226,desktop,rfid
E200001939070050131018B5,desktop,rfid
E20000193907012013105670,lamp,rfid
E20000195919016117508670,drug,rfid
E20000195919016317508F2D,drug,rfid
E200001959190172175092DA,cup,rfid
E200001959190171175097E5,cup,rfid
E20000193907010813104DEA,laptop,rfid
E200001959190170175092D9,laptop,rfid
E20000195919016817508A1B,book,rfid
E20000195919016717508F2F,book,rfid
E20000195919016817508A1C,book,rfid
E200001959190170175092D9,book,rfid
E20000195919016417508A1A,drawer,rfid
E20000195919016517508F2E,drawer,rfid
E20000195919016217508A19,drawer,rfid
E2000019591901601750815C,drawer,rfid
E200001959190176175092DC,shelf,rfid
E200001959190177175097EB,shelf,rfid
E200001959190173175097E6,shelf,rfid
E200001959190174175092DB,shelf,rfid
E200001959190175175097E7,shelf,rfid
E20000193907014613107949,cup,bitid
E20000193907001913100535,lamp,bitid
E20000193907004013000CF8,drawer,bitid
E2000019390700191300052D,book,bitid
E200001939070018131003F5,drug,bitid
E200001939070020130003FA,laptop,bitid
