,Ant,CRC,Count,EPC,Freq,PC,Phase,Protocol,RSSI,Time,_id
0,3,0x4713,1,E20000193907006913102966,920750,0x3000,160,GEN2,-63,2018-12-18 08:03:00.028,5c18a74d54a6fca8b3529fde
1,3,0xDB72,1,E200001939070028131007FE,920750,0x3000,16,GEN2,-52,2018-12-18 08:03:00.038,5c18a74d54a6fca8b3529fe0
2,3,0x547A,1,E20000193907006213101F63,920750,0x3000,115,GEN2,-59,2018-12-18 08:03:00.049,5c18a74d54a6fca8b3529fe2
3,3,0x203E,1,E20000195919016117508670,920750,0x3000,154,GEN2,-75,2018-12-18 08:03:00.058,5c18a74d54a6fca8b3529fe4
4,3,0xCC05,1,E200001959190174175092DB,920750,0x3000,149,GEN2,-65,2018-12-18 08:03:00.068,5c18a74d54a6fca8b3529fe6
5,2,0x6005,1,E20000195919016817508A1C,920750,0x3000,177,GEN2,-68,2018-12-18 08:03:00.128,5c18a74d54a6fca8b3529fe8
6,2,0xD137,1,E20000193907012013105670,920750,0x3000,19,GEN2,-70,2018-12-18 08:03:00.138,5c18a74d54a6fca8b3529fea
7,3,0x0536,1,E20000193907013813107089,920750,0x3000,50,GEN2,-40,2018-12-18 08:03:00.169,5c18a74d54a6fca8b3529fec
8,1,0xC73A,1,E200001959190171175097E5,920750,0x3000,137,GEN2,-62,2018-12-18 08:03:00.198,5c18a74d54a6fca8b3529fee
9,1,0xCD24,1,E200001939070030131007FF,909250,0x3000,36,GEN2,-62,2018-12-18 08:03:00.328,5c18a74d54a6fca8b3529ff2
10,2,0x0637,1,E20000193907014713107CFD,909250,0x3000,5,GEN2,-53,2018-12-18 08:03:00.358,5c18a74d54a6fca8b3529ff4
11,2,0xF616,1,E2000019591901601750815C,909250,0x3000,104,GEN2,-66,2018-12-18 08:03:00.378,5c18a74d54a6fca8b3529ff6
12,2,0xF861,1,E200001959190176175092DC,909250,0x3000,123,GEN2,-65,2018-12-18 08:03:00.388,5c18a74e54a6fca8b3529ff8
13,3,0x11A1,1,E200001959190172175092DA,909250,0x3000,28,GEN2,-58,2018-12-18 08:03:00.418,5c18a74e54a6fca8b3529ffa
14,3,0xA89B,1,E20000195919016517508F2E,909250,0x3000,129,GEN2,-67,2018-12-18 08:03:00.438,5c18a74e54a6fca8b3529ffe
15,1,0xBF2E,1,E20000193907005113101B4D,909250,0x3000,157,GEN2,-67,2018-12-18 08:03:00.468,5c18a74e54a6fca8b352a000
16,1,0xFC39,1,E20000195919016717508F2F,909250,0x3000,81,GEN2,-77,2018-12-18 08:03:00.488,5c18a74e54a6fca8b352a002
17,1,0xBD6B,1,E20000193907014513107440,909250,0x3000,157,GEN2,-58,2018-12-18 08:03:00.498,5c18a74e54a6fca8b352a004
18,3,0xB3DA,1,E200001959190173175097E6,909250,0x3000,75,GEN2,-60,2018-12-18 08:03:00.568,5c18a74e54a6fca8b352a006
19,2,0xBBF7,1,E200001939070049131014D4,925750,0x3000,104,GEN2,-62,2018-12-18 08:03:00.668,5c18a74e54a6fca8b352a010
