,Ant,CRC,Count,EPC,Freq,PC,Phase,Protocol,RSSI,Time,_id
0,2,0x9BE0,1,E200001939070029131009B6,923250,0x3000,70,GEN2,-60,2018-12-18 08:21:00.052,5c18ab8554a6fca8b35376d5
1,2,0xDB72,1,E200001939070028131007FE,913250,0x3000,19,GEN2,-61,2018-12-18 08:21:00.112,5c18ab8554a6fca8b35376d7
2,1,0xA89B,1,E20000195919016517508F2E,913250,0x3000,0,GEN2,-63,2018-12-18 08:21:00.182,5c18ab8554a6fca8b35376d9
3,1,0x8BE8,1,E20000195919016417508A1A,913250,0x3000,106,GEN2,-59,2018-12-18 08:21:00.212,5c18ab8554a6fca8b35376dd
4,1,0xBBF7,1,E200001939070049131014D4,913250,0x3000,160,GEN2,-53,2018-12-18 08:21:00.282,5c18ab8554a6fca8b35376df
5,2,0x0637,1,E20000193907014713107CFD,913250,0x3000,115,GEN2,-56,2018-12-18 08:21:00.342,5c18ab8554a6fca8b35376e1
6,2,0xFC39,1,E20000195919016717508F2F,913250,0x3000,123,GEN2,-66,2018-12-18 08:21:00.352,5c18ab8554a6fca8b35376e3
7,2,0xD393,1,E200001939070157131085BE,913250,0x3000,59,GEN2,-55,2018-12-18 08:21:00.362,5c18ab8554a6fca8b35376e5
8,1,0xBA87,1,E200001939070079131030EB,913250,0x3000,174,GEN2,-57,2018-12-18 08:21:00.402,5c18ab8654a6fca8b35376e7
9,1,0xB3DA,1,E200001959190173175097E6,913250,0x3000,104,GEN2,-62,2018-12-18 08:21:00.432,5c18ab8654a6fca8b35376e9
10,1,0xC73A,1,E200001959190171175097E5,905250,0x3000,14,GEN2,-65,2018-12-18 08:21:00.522,5c18ab8654a6fca8b35376ef
11,1,0x2E3B,1,E200001939070050131018B5,905250,0x3000,163,GEN2,-51,2018-12-18 08:21:00.542,5c18ab8654a6fca8b35376f1
12,1,0x75A4,1,E2000019390700821310357D,905250,0x3000,157,GEN2,-57,2018-12-18 08:21:00.543,5c18ab8654a6fca8b35376f3
13,3,0x7BE7,1,E20000193907012613105F1B,905250,0x3000,0,GEN2,-37,2018-12-18 08:21:00.602,5c18ab8654a6fca8b35376f5
14,3,0x6E7E,1,E200001959190175175097E7,905250,0x3000,109,GEN2,-62,2018-12-18 08:21:00.622,5c18ab8654a6fca8b35376f7
15,3,0x203E,1,E20000195919016117508670,905250,0x3000,106,GEN2,-63,2018-12-18 08:21:00.642,5c18ab8654a6fca8b35376f9
16,1,0xBF2E,1,E20000193907005113101B4D,905250,0x3000,59,GEN2,-64,2018-12-18 08:21:00.662,5c18ab8654a6fca8b35376fb
17,3,0x0536,1,E20000193907013813107089,905250,0x3000,64,GEN2,-37,2018-12-18 08:21:00.732,5c18ab8654a6fca8b35376fd
18,1,0x760E,1,E20000195919016217508A19,905250,0x3000,78,GEN2,-72,2018-12-18 08:21:00.772,5c18ab8654a6fca8b35376ff
19,1,0xCC05,1,E200001959190174175092DB,905250,0x3000,25,GEN2,-63,2018-12-18 08:21:00.792,5c18ab8654a6fca8b3537701
